timediff_ms,proto,srcIP,srcPort,dstIP,dstPort
1129,6,172.16.133.50,50678,96.43.146.22,443
1140,6,172.16.133.57,59182,64.74.80.185,443
1140,6,172.16.133.57,59184,216.115.216.98,443
1140,6,172.16.133.57,59186,216.219.115.160,443
1140,6,172.16.133.57,59187,216.115.217.198,443
1142,6,172.16.133.114,55076,216.137.33.161,80
1143,17,172.16.133.47,54021,239.255.255.250,1900
1145,6,172.16.133.118,57944,216.115.217.201,443
1146,6,172.16.133.118,57946,216.115.217.210,443
1146,6,172.16.133.53,53841,96.43.146.22,443
1148,6,172.16.133.109,49453,96.43.146.22,443
1149,17,172.16.133.58,54020,239.255.255.250,1900
1155,17,172.16.133.6,59323,8.8.4.4,53
1159,6,172.16.133.132,52333,98.139.240.23,80
1174,6,172.16.133.126,57660,67.228.168.221,80
1189,6,172.16.133.58,53926,157.56.241.150,443
1208,6,172.16.133.78,58887,70.99.54.203,28061
1211,6,172.16.133.25,59887,108.28.150.190,22350
1216,6,172.16.133.110,45711,74.125.226.222,443
1222,6,172.16.133.57,59178,216.115.208.199,443
1226,6,172.16.133.78,58865,24.44.106.119,18131
1228,6,172.16.133.78,58383,63.73.131.68,80
1244,6,172.16.133.45,61077,157.56.234.118,443
1245,6,172.16.133.121,53745,157.56.232.214,443
1249,6,172.16.133.82,61234,64.56.203.22,443
1260,6,172.16.133.48,49219,23.21.122.20,5222
1260,6,172.16.133.54,64195,23.21.122.20,5222
1262,6,172.16.133.49,53682,54.235.187.196,443
1266,6,172.16.133.114,63437,23.23.126.165,5222
1267,6,172.16.133.39,49282,23.21.62.199,5222
1268,6,172.16.133.63,49228,23.21.62.199,5222
1269,6,172.16.133.163,1121,23.21.62.199,5222
1269,6,172.16.133.82,54098,204.236.224.158,5222
1270,6,172.16.133.120,49224,204.236.224.158,5222
1273,6,172.16.133.76,57695,204.236.224.158,5222
1277,17,172.16.133.6,58363,8.8.8.8,53
1286,6,172.16.133.75,58187,157.56.241.150,443
1299,6,172.16.133.126,57848,67.228.168.221,80
1300,6,172.16.133.132,54613,216.185.152.111,80
1324,6,172.16.133.132,38640,98.139.134.187,80
1328,6,172.16.133.36,64955,67.217.64.100,443
1336,6,172.16.133.66,58182,74.125.226.214,443
1338,6,172.16.133.56,60851,67.217.66.54,443
1338,6,172.16.133.56,60847,67.217.65.54,443
1338,6,172.16.133.56,60850,67.217.64.54,443
1341,6,172.16.133.57,59155,184.73.255.87,5222
1345,6,172.16.133.78,58806,98.209.196.102,34603
1346,6,172.16.133.78,49608,68.33.218.83,45301
1352,6,172.16.133.85,51695,216.219.115.183,443
1352,6,172.16.133.85,51697,216.219.115.160,443
1354,6,172.16.133.120,52113,96.43.146.164,443
1355,6,172.16.133.37,60245,96.43.146.22,443
1371,6,172.16.133.118,58125,216.115.217.201,443
1372,6,172.16.133.93,60584,67.69.196.212,1935
1378,6,172.16.133.78,59001,96.242.17.13,60086
1378,6,172.16.133.118,58122,64.74.80.188,443
1378,6,172.16.133.118,58123,216.115.216.101,443
1378,6,172.16.133.118,58124,216.219.115.163,443
1383,17,172.16.133.6,63229,8.8.8.8,53
1386,6,172.16.133.35,49522,216.115.208.199,443
1394,6,172.16.133.132,54620,216.185.152.111,80
1423,6,172.16.133.21,57524,173.194.76.125,5222
1457,6,172.16.133.36,65069,68.64.24.250,443
1462,6,172.16.133.66,53705,132.245.2.22,443
1465,17,172.16.133.60,54790,239.255.255.250,1900
1480,6,172.16.133.132,50410,76.13.6.174,80
1483,6,172.16.133.121,53746,157.56.232.214,443
1487,6,172.16.133.132,54625,98.139.161.29,80
1493,6,172.16.133.132,44315,98.138.19.88,80
